index,사업자등록번호,기업명,대표자명,c_index,c_name
801,1048189612,(주)알토시스템,이상종,58,정보통신업
33848,6081870625,네모시스템즈,조영욱,58,정보통신업
33940,6098607838,(주)사람과기술,김영찬,58,정보통신업
33895,6098132666,(유)코아시스템,강순옥,58,정보통신업
33897,6098137448,(주)티아이에스,이종문,58,정보통신업
759,1048148455,(주)한국글로발로지스틱스시스템,박태훈,58,정보통신업
33924,6098184581,(주)케이씨에스,김병규,58,정보통신업
30194,4021530795,디자인봄,유태호,58,정보통신업
757,1048144236,(주)웰컴시스템아이엔씨,김정태,58,정보통신업
756,1048143391,에스케이텔링크(주),최영석,58,정보통신업
33927,6098190161,(주)이즈파크,김갑산,58,정보통신업
30191,4021494486,온고을이십일,오영택,58,정보통신업
4759,1058611617,태성에스엔피(주),박임제,58,정보통신업
33928,6098190195,로테이팅시스템즈코리아(주),죠지하마나,58,정보통신업
4764,1058612746,웹투게더(주),강선영,58,정보통신업
755,1048143256,(주)아이티피,구지용,58,정보통신업
33930,6098191438,(주)우일소프트,박현숙,58,정보통신업
4767,1058613935,(주)건설연구사,전인식,58,정보통신업
33931,6098191476,(주)아이티라이프,진철호,58,정보통신업
754,1048141995,오씨아이정보통신(주),박태하,58,정보통신업
752,1048139387,(주)혜만테크,임광빈,58,정보통신업
4768,1058614012,피닉스소프트웨어(주),유학철,58,정보통신업
30185,4021385812,반디소프트,박재옥,58,정보통신업
4769,1058614399,(주)뉴컴,조미애,58,정보통신업
4770,1058614496,(주)유티엔씨,김대휴,58,정보통신업
30181,4021290002,네트미디어,권정임,58,정보통신업
750,1048137808,(주)디지틀조선일보,김영수,58,정보통신업
4776,1058617789,(주)델타텍코리아,이승호,58,정보통신업
4780,1058618717,(주)윈위즈,임은성,58,정보통신업
33937,6098212162,사회복지법인꿈과희망,정철호,58,정보통신업
4791,1058622545,(주)준소프트,전창오,58,정보통신업
30173,4021038341,르네상스정보기술,이영호,58,정보통신업
30172,4020964052,아이피에스,조중권,58,정보통신업
33938,6098532761,삼미정보시스템(주)광주지점,김명조,58,정보통신업
33921,6098182337,(주)희원,이종남,58,정보통신업
4752,1058609595,(주)케이티씨인증원,김선문,58,정보통신업
33920,6098181658,에이원정보기술(주),정형욱,58,정보통신업
4748,1058608562,유니테크인포컴(주),김종수,58,정보통신업
31681,4108615489,(주)국제미래교육사,유희정,58,정보통신업
786,1048172936,(주)예스콜닷컴,유덕화,58,정보통신업
33899,6098141258,(주)이솔테크,박기완,58,정보통신업
4735,1058605380,(주)한국경총인증원,김동원,58,정보통신업
4736,1058605487,(주)나스컴아이엔씨,이춘규,58,정보통신업
33900,6098141393,사이버문(주),최창석,58,정보통신업
32214,4308100874,인투사이트(주),김경우,58,정보통신업
33901,6098143372,(주)모비트론이엔지,최일규,58,정보통신업
33902,6098143426,삼일정보기술(주),김옥준,58,정보통신업
784,1048170092,(주)인포매니아정보기술,진용기,58,정보통신업
782,1048167980,한영푸드(주),조은란,58,정보통신업
780,1048163626,(주)도서출판아테나,김대현,58,정보통신업
775,1048161031,에이치솔루션(주),정인섭,58,정보통신업
772,1048159006,(주)조선뉴스프레스,이동한,58,정보통신업
33896,6098134626,문테크(주),문광조,58,정보통신업
33909,6098164659,(주)메이커창의공작소,박일환,58,정보통신업
767,1048156085,중앙프라퍼티(주),인채권,58,정보통신업
4738,1058606244,리얼타임비쥬얼(주),이상민,58,정보통신업
33914,6098170689,윙크(주),임인택,58,정보통신업
4739,1058606303,(주)수학사랑,장혁,58,정보통신업
4740,1058606434,(주)케이디정보기술,이종오,58,정보통신업
30207,4021656021,용안미디어,송동수,58,정보통신업
30204,4021620163,인스마트,최하영,58,정보통신업
765,1048154506,리얼네트웍스아시아퍼시픽(주),강제승,58,정보통신업
4744,1058608179,(주)크레딕스,최원식,58,정보통신업
4747,1058608505,네오크루(주),심상현,58,정보통신업
30201,4021585252,아이티서비스,박성민,58,정보통신업
33917,6098172708,아이엠소프트(주),정연우,58,정보통신업
763,1048150951,(주)이비뉴스,김영락,58,정보통신업
33919,6098180829,(주)엠에스지,김진수,58,정보통신업
771,1048158875,인베스트웨어,김동명,58,정보통신업
5155,1058711614,(주)에이씨에스글로벌,이은일,58,정보통신업
16859,1428121521,(주)에스엠솔루션즈,김동흔,58,정보통신업
6847,1071872173,레드폭스,박주만,58,정보통신업
12527,1278614370,(주)에코넷시스템,이준희,58,정보통신업
12520,1278602802,(주)하나넷,김기훈,58,정보통신업
21117,2122488508,디앤엠,한승완,58,정보통신업
12505,1278166586,유진정보(주),변태수,58,정보통신업
12501,1278137422,엑스트라클래스(주),임성식,58,정보통신업
21122,2122521106,디자인포휴먼,김경호,58,정보통신업
21135,2122595006,스터디원,김혜영,58,정보통신업
21143,2123121145,보아홀딩,남호일,58,정보통신업
12475,1274613619,비엘메디텍,배동호,58,정보통신업
21150,2128133513,정한시스템(주),박동윤,58,정보통신업
12537,1278641580,(주)미래씨앤에스,주지영,58,정보통신업
21158,2128150363,(주)라온즈,신상용,58,정보통신업
21160,2128150849,(주)드림팩토리클럽,이정혜,58,정보통신업
21169,2128166884,(주)유비텍정보통신,송영권,58,정보통신업
21171,2128170127,(주)지엠시스넷,박윤주,58,정보통신업
12453,1274132912,일오사사팔이구구대리운전,박규연,58,정보통신업
21178,2128175893,(주)에스엠티엔티,김문식,58,정보통신업
21179,2128179040,(주)시스케이블코리아,성창엽,58,정보통신업
21180,2128180983,(주)삼전기술,조진태,58,정보통신업
21183,2128185620,(주)인베니오,이해구,58,정보통신업
21186,2128188350,(주)씨투비네트웍스,정차미,58,정보통신업
21187,2128189591,(주)라온텍,이경석,58,정보통신업
12465,1274358459,철수,이명희,58,정보통신업
21188,2128190462,(주)씨에스인포테크,이찬문,58,정보통신업
21106,2122358254,북스캔넘버원,황영식,58,정보통신업
12545,1278659135,(주)에스제이유엔지니어링,심현수,58,정보통신업
21040,2118899718,(주)투비콘,노정한,58,정보통신업
12604,1281286672,넷플랜,김수환,58,정보통신업
21044,2119053243,사이몬북스,강신원,58,정보통신업
21047,2119071654,스피드잡,박윤자,58,정보통신업
21050,2119933105,명경사,한의명,58,정보통신업
12599,1281089243,21라인,박부균,58,정보통신업
12597,1281043271,행신동매직피씨방,박태영,58,정보통신업
21059,2120390770,모은정보통신,김형석,58,정보통신업
21062,2120687693,세연정보통신,성노현,58,정보통신업
12587,1280677041,하나이씨알엠,태용운,58,정보통신업
12540,1278652199,(주)와이비전,이재숙,58,정보통신업
12578,1280463811,오피스솔루션,이대수,58,정보통신업
12576,1280444148,이벤트넷,정연화,58,정보통신업
21077,2121583888,네오칩,김재욱,58,정보통신업
21078,2121592785,이안테크,이기형,58,정보통신업
21080,2121728273,인물과사상,손은숙,58,정보통신업
21082,2121782146,투진솔루션,허용기,58,정보통신업
21085,2121888981,포릭스,김윤환,58,정보통신업
21090,2122088683,민프로덕션,안재민,58,정보통신업
21092,2122152329,씨앤피,주성용,58,정보통신업
